"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"FAS" 804 640 2423 799 787 742 461 828 233
"RNASET2" 1388 669 1027 1948 719 1408 1078 552 1020
"CD44" 11775 11163 21496 8878 12349 10328 7732 7272 5372
"KCNG1" 3168 1973 3828 3283 2234 1671 2793 3911 2610
"AGPAT4" 955 751 872 897 761 647 783 367 572
"SLAMF7" 250 48 81 746 499 2000 55 253 35
"BTN3A1" 2010 1215 1864 3825 3008 2144 1906 697 1780
"MIPEP" 474 528 857 435 519 331 662 340 719
"PRKCH" 9000 6776 9774 9355 8100 5642 8915 5805 8673
"INSRR" 3 1 13 1 1 6 1 2 0
"IFNGR1" 15877 8703 11541 10192 9538 9853 8650 12851 8720
"B4GALT7" 1371 1104 1596 1260 1263 940 1418 1047 1225
"SH2D2A" 26 12 127 17 23 116 22 16 19
"VRK2" 1474 1265 1931 1534 1488 1776 1633 1538 1975
"TNFRSF1B" 20798 3919 6647 9472 4863 5317 3684 2538 3574
"VEZT" 3870 3408 4226 3409 3532 3300 4292 3644 4014
"POU2F2" 257 90 128 108 82 68 122 41 129
"BRD9" 1058 777 1434 957 760 955 1097 1257 1284
"SNX1" 4856 4845 6901 4959 5573 3718 5408 4240 5896
"TBPL1" 981 1257 751 1292 1529 538 861 1314 636
"ARNTL2" 3084 1187 2221 1887 1543 2102 1343 666 1500
"BCLAF1" 8513 7738 9432 7899 9093 6253 7975 12920 9191
"SLC39A9" 4850 4174 5750 4947 4724 3156 4550 3577 4930
"ANK1" 261 178 230 177 175 100 179 111 220
"IBSP" 72 36 13 56 37 9 40 27 22
"TFB1M" 357 386 434 337 355 217 457 164 542
"RABEP1" 3452 3878 6031 3618 4023 3346 3894 2301 5079
"HMGB3" 33618 28528 28641 32863 31642 25539 25070 18698 24011
"NUP160" 2747 2660 4584 3059 3114 2895 3181 3604 4451
"BAK1" 493 563 1062 563 606 646 582 416 823
"MUSK" 29 25 28 11 27 18 23 62 12
"IKZF2" 2177 1219 2018 2910 2371 1621 1979 548 2200
"GRN" 13330 11631 15345 16392 14821 16438 12454 15833 9737
"FAM13B" 2255 1891 3617 2107 2436 2247 2579 1895 2917
"ARHGAP31" 2286 1532 2140 1853 1844 2345 1560 903 1457
"CENPQ" 548 698 515 779 726 312 680 919 731
"SARS" 15717 15411 18638 16068 14467 11008 15466 18680 13800
"RANBP3" 1431 1616 2041 1438 1751 1381 1418 1399 1836
"ARID4A" 1003 1058 1448 1107 1270 844 1254 585 1404
"EIPR1" 1054 972 1640 1049 1133 719 1358 524 1422
"PNPLA6" 2206 1967 3547 2425 2038 1640 2591 1042 2473
"IFT88" 267 295 544 313 315 182 419 224 610
"ALG1" 451 420 797 481 437 422 522 494 690
"ZCCHC8" 1694 1090 1817 1648 1229 1511 1661 1488 1635
"ABCF2" 2303 2394 4332 2144 2371 2509 2254 5406 3628
"CHPF2" 2476 1843 3414 2014 2019 1839 2197 2051 2090
"LRRC7" 498 555 735 533 507 379 699 368 822
"FUT8" 2694 2097 4357 2863 2854 2216 3174 1008 3815
"UBA6" 5739 4004 4576 5252 5215 3857 4427 5022 4986
"GAB2" 4761 4812 6576 4943 5135 5398 3664 4435 4691
"ATP6V0A1" 5074 2980 4542 4256 4365 3073 3296 1926 4436
"PIAS1" 4159 3821 4421 4559 4156 3014 3941 4541 4314
"SLC4A7" 1335 1032 2073 1401 1129 2399 1183 1945 1597
"APBA2" 42 41 269 26 37 132 27 15 38
"MAP2K3" 3446 3170 4514 3380 3294 2318 3472 2506 2629
"EFCAB1" 11 6 4 7 3 2 8 5 10
"TMSB10" 35750 47252 36136 43615 42091 28153 39603 40646 30153
"ASTE1" 228 254 347 272 244 210 318 348 300
"RNF19A" 3433 3134 3664 3447 3557 3255 3616 1923 2771
"PEX3" 1107 1012 1696 1035 1027 790 1456 691 1598
"GABARAPL2" 4841 5818 4730 4631 5508 2435 4266 7525 4015
"MYOC" 9 11 9 1 9 4 4 18 7
"SH3YL1" 4458 5092 3470 4616 5217 2165 4489 4203 5269
"FAM136A" 1255 1289 2410 1503 1395 1040 1866 1178 2193
"VCL" 13808 8245 13490 10672 10009 12743 11547 9605 11640
"DEPDC1B" 1196 519 469 687 476 335 837 575 685
"DAPK2" 25 18 102 12 17 117 27 6 19
"NSMAF" 1193 1622 2738 1480 2657 2349 1638 1863 2453
"ADSS" 2813 2536 3542 2862 2618 2486 3054 2533 3265
"STAP1" 3 5 23 8 12 109 0 3 3
"TIMP2" 2941 3223 13356 4631 4861 25858 2335 4318 2055
"RFC1" 2666 2316 3820 2971 2543 2090 3205 2101 3444
"TBC1D23" 4973 4606 4442 4738 4789 3388 4013 4983 3968
"CUL3" 5738 5138 6920 4745 5237 3607 5193 10139 5783
"MYOM2" 22 9 7 9 14 11 6 16 11
"OTC" 2 2 1 2 1 0 3 1 0
"CYP46A1" 30 23 18 27 21 16 33 16 34
"ZZZ3" 1940 1875 2994 2143 2399 1770 2407 2125 2967
"SLC18A1" 7 15 6 6 12 4 7 6 7
"USP2" 63 57 92 54 50 56 50 48 30
"CASR" 2 6 1 1 3 2 1 2 2
"TUBG2" 251 383 596 310 430 263 354 246 571
"RPL26L1" 590 712 687 565 672 319 686 934 602
"FLT4" 57 316 125 166 271 115 92 264 104
"NSUN2" 3297 2474 5209 2971 2873 3455 3393 6492 4434
"FBXO42" 2990 2554 3717 3008 2586 2107 2731 2539 2895
"MFAP3" 1732 1811 3524 1823 1943 1905 2035 1806 2890
"MRI1" 457 887 673 521 983 338 639 855 820
"METTL1" 393 271 624 336 300 358 431 510 507
"HOXC8" 6 16 3 7 8 4 2 12 6
"AGA" 535 535 797 716 497 619 686 559 607
"PI4K2B" 2211 1685 3024 3463 3452 4590 2500 1813 2575
"BOD1L1" 3081 2616 3580 3025 3492 2645 3447 2363 3565
"MAT2B" 4920 4671 5367 5925 5805 3191 4449 4734 4529
"TLL1" 721 1327 1575 891 1820 843 859 3058 1115
"EDC4" 2569 1816 3187 2415 1934 1589 2592 1984 2332
"TRIO" 9289 6256 10095 7662 7055 9200 7539 4379 8317
"VCAN" 5468 6037 8705 3848 5791 3677 4893 3405 7369
"CLEC16A" 1465 1152 2137 1326 1468 1425 1361 483 1823
"MSR1" 780 632 1527 2212 2397 6993 783 645 772
"CDH1" 55366 39802 41957 50679 45723 26078 49731 39292 33535
"MTREX" 3483 3505 5156 3346 3795 2920 3846 4179 4244
"DNAH5" 44 20 16 14 7 19 24 5 12
"ZFYVE16" 4163 2365 4690 3566 2743 3093 3349 2501 4968
"RIPOR1" 1719 1321 2045 1428 1368 2211 1372 1793 629
"C6" 1 9 3 3 2 7 0 1 6
"RAI14" 9697 5343 10983 8622 6358 7436 7997 7643 6342
"SOX30" 77 23 52 76 26 85 141 24 83
"PNKP" 4790 5206 7577 4853 5221 3634 4831 6910 5032
"BEST2" 1 2 3 1 4 3 3 1 4
"PHLPP2" 1959 2200 3211 1506 1719 1100 1961 2907 2167
"SPDL1" 556 703 1015 610 646 464 815 995 1069
"STAU2" 1339 1801 2184 1352 1813 788 1809 573 2030
"PQLC2" 753 666 899 667 625 564 738 1427 758
"CTNS" 657 484 1202 513 504 938 654 689 745
"RTN4R" 90 54 94 79 41 49 88 65 20
"PHF23" 1980 1426 2279 1627 1659 1536 1452 4245 1459
"CDH10" 4 7 2 4 0 9 3 0 14
"INPP4A" 1830 2742 3209 2531 2815 1953 3031 1011 4041
"RAB27B" 922 1000 1154 1721 1783 847 1398 749 1342
"PSMA4" 6437 8074 8646 7221 8956 7157 6332 9252 8237
"MYO16" 283 124 296 153 112 218 193 530 236
"LSG1" 1746 1835 3050 1685 2050 1981 1979 4589 2686
"PARP3" 45 186 99 53 127 127 61 149 113
"TNC" 320 69 982 190 57 367 131 50 96
"THAP3" 1130 1242 1614 1543 1673 1073 1276 999 1168
"RIPOR3" 137 76 360 78 82 216 82 85 118
"TDP1" 991 1019 1445 918 1008 596 1002 599 1288
"AIFM2" 467 480 1474 539 539 765 555 697 824
"C2orf83" 151 186 218 117 168 110 87 105 144
"SPATA7" 2323 1352 2356 2490 1752 1431 2285 1864 2230
"MED17" 1579 1030 1883 1451 1280 1194 1417 2393 1621
"RETSAT" 1626 1735 2330 1973 1982 1105 2153 2268 1730
"CAPG" 1701 1227 1370 3186 1048 4691 1989 1047 899
"AP2S1" 4928 5152 5053 4854 5457 2438 4516 3995 4083
"USH2A" 38 73 59 26 54 48 50 49 60
"ZPBP" 2 15 8 3 4 5 0 4 6
"TG" 743 320 1564 505 356 887 598 108 585
"ADAM28" 229 153 325 208 145 882 181 108 241
"BARX2" 229 302 406 503 322 135 439 185 384
"DCUN1D1" 1149 1191 1385 1118 1328 1047 1131 1656 1373
"JADE2" 1585 1528 2128 2467 2497 2356 2112 1324 1327
"ZIC2" 7 2 1 0 0 13 8 3 2
"LCP2" 630 701 608 714 838 1319 525 394 358
"TRIT1" 1964 2007 2407 2556 2091 1195 2660 1471 2591
"ADRB1" 3029 6377 6390 4950 7448 3258 4380 3711 4750
"GUCA2B" 2 0 0 1 0 1 1 5 0
"CUL7" 2070 2317 2266 1837 3095 988 1921 1316 1858
"CTNNA1" 30497 27146 30152 32200 29500 20674 31474 19318 25572
"PHKA2" 4966 3427 4445 4970 4274 2411 5484 2101 6208
"CNTLN" 116 174 212 124 189 170 157 166 171
"EPHA3" 347 566 92 310 723 77 474 410 328
"HSPA5" 90200 149429 61996 95185 140881 40762 73713 171419 43886
"DSG2" 31371 16952 23754 27636 20974 16311 27495 25827 19857
"GEMIN8" 372 365 512 424 441 197 486 409 519
"OFD1" 2195 1079 1941 1747 1653 1477 1647 1992 2658
"GPM6B" 100 81 67 73 126 71 96 80 182
"MAGEC2" 0 0 0 0 0 0 0 0 0
"PREX2" 100 270 122 113 251 58 129 236 147
"WDR37" 2704 2252 2885 2305 2254 1202 2561 2251 2714
"YTHDC2" 1004 740 1520 870 879 761 1063 757 1898
"CTPS2" 540 658 869 675 771 547 817 211 1020
"ATP6V1H" 2603 2666 3237 2671 2708 2053 2874 1960 2406
"POLR2B" 6868 6392 10581 5735 6649 4804 7353 8424 8381
"FAM214A" 791 763 1063 721 940 892 839 486 937
"ARAP2" 279 388 842 469 563 1196 118 293 142
"TPR" 9472 7547 10882 8867 8673 6095 10513 8701 11079
"CP" 993 700 1212 996 915 869 931 372 968
"KIAA0556" 995 800 1556 944 966 862 974 351 1139
"DTNBP1" 646 602 849 682 722 629 745 573 615
"XK" 70 52 65 63 56 26 94 57 68
"ANO2" 524 427 662 692 576 299 585 384 564
"C12orf4" 660 576 889 685 578 536 952 695 902
"SCML1" 520 650 598 505 686 418 573 747 644
"WWC3" 4143 1756 3986 4013 2412 2790 4127 1417 2755
"ARHGAP6" 103 226 176 101 171 63 136 104 213
"FAM184B" 322 286 507 339 419 289 374 270 634
"MAP4" 10767 11167 15227 11334 11173 8986 11474 4700 10643
"GOPC" 3006 3168 4372 3368 3467 2380 3809 3197 4321
"ROS1" 2 0 461 3 2 441 2 0 0
"USP28" 658 418 1070 948 655 786 808 221 685
"HDAC9" 317 198 241 271 177 291 155 96 92
"TSPAN17" 239 274 336 233 265 511 202 279 223
"NOP16" 1188 1401 1627 1067 1259 956 1380 3058 1401
"CC2D2A" 409 689 908 529 800 334 665 594 992
"RRM2B" 3613 5962 4910 3888 4923 2566 3875 5258 4296
"ZNF800" 1629 1356 1891 1321 1680 1399 1513 2292 2232
"TNFRSF17" 1 2 0 1 0 1 1 0 3
"SNX29" 1562 2764 5158 1641 3391 1947 1872 700 4212
"LMO3" 50 7 58 52 18 38 71 4 3
"MRPS10" 3283 3443 5032 3245 3931 2203 3052 3865 4013
"GUCA1A" 6 3 6 4 7 5 7 10 4
"RSF1" 3241 3070 3658 3767 4003 3045 3671 1767 3191
"VPS13D" 5673 3544 6647 4585 5068 4260 4358 1590 5570
"CELF2" 887 179 1117 352 150 626 230 81 105
"FAM120A" 20593 12827 17035 19894 13241 9955 18662 9023 16208
"R3HDM1" 609 754 1177 614 746 538 732 287 1193
"COL9A2" 169 158 323 176 146 126 221 142 211
"KITLG" 884 2234 418 489 1611 451 836 828 700
"ERCC8" 533 604 895 522 572 364 686 437 1008
"ADAMTS6" 322 406 961 397 611 729 482 525 1130
"H6PD" 4159 3465 6075 4084 4562 3100 5222 1597 5000
"VAMP3" 10382 8633 11010 11275 10958 7463 9312 9026 9115
"PER3" 566 364 702 852 566 510 573 264 587
"UTS2" 193 125 250 270 213 172 205 83 182
"TNFRSF9" 149 51 191 122 96 114 54 39 17
"EPN3" 448 833 2386 872 1078 626 908 278 1479
"LTBP1" 7431 8358 10926 6703 8468 11268 7999 3507 6116
"RCN1" 19171 13853 19805 18633 16757 12216 17698 11895 16171
"ELN" 1031 1875 369 725 1438 187 650 1556 518
"RFC2" 1610 1909 1899 2059 1880 1153 2020 2400 1843
"ARID1B" 2695 1979 3283 2852 2600 2029 2845 915 2709
"CLPTM1L" 3809 3804 5179 3778 4241 3482 4215 5112 3832
"NEDD4L" 11331 6311 6441 8743 8052 3997 7247 6791 5386
"FOXP3" 35 22 35 49 29 35 39 27 34
"PPP1R3F" 197 243 359 205 260 151 191 86 326
"HEXB" 39025 54026 38739 46117 53289 50653 38691 63233 29431
"PTCD2" 683 817 1080 907 910 538 939 551 1152
"NEXMIF" 17 23 39 13 10 17 12 2 9
"JKAMP" 1528 2037 2695 1659 1907 1427 1899 1155 2162
"DKK3" 374 503 1177 367 395 1011 408 511 353
"ARHGEF5" 1259 812 1480 1350 1098 1272 1266 892 1236
"NFE2L3" 20801 19395 24718 18766 28442 12615 15348 15470 22784
"MCUR1" 1384 1558 1729 1405 1595 883 1489 1427 1474
"LIMA1" 13674 17001 17521 16548 19072 19894 12831 27625 13980
"LETMD1" 1548 1509 2045 2086 1988 1461 1916 1260 2316
"SLC4A8" 215 106 359 170 127 336 175 31 370
"LAMC3" 675 1468 460 732 1359 477 777 2318 485
"PTGER3" 27 25 264 217 30 405 35 49 19
"TNIP3" 86 7 9 16 9 14 12 7 4
"MAPK9" 2978 3157 4686 2903 3342 2820 3017 1614 3894
"COL23A1" 180 36 71 241 28 80 194 35 64
"BCAR1" 8847 6371 8887 8758 6664 5358 9801 9935 4698
"FAM160A2" 800 719 972 892 739 582 1016 978 816
"HERPUD1" 14690 14972 12748 16891 12165 7110 14296 7134 10213
"HOMER3" 342 364 526 291 335 571 358 303 244
"RAD51" 854 702 910 1244 748 590 1126 1201 1054
"POLQ" 365 471 658 589 463 481 599 702 969
"PIK3CB" 14991 8482 13638 16078 10612 9094 11840 5334 12889
"CYBA" 1452 994 1274 1135 1079 1285 526 821 1220
"THOC3" 280 538 517 377 541 282 443 371 561
"HEBP2" 6248 6137 6523 6373 5612 3098 6372 5270 5802
"MPHOSPH9" 614 838 1005 662 771 394 928 455 1038
"PLEKHA5" 1096 1217 2063 1095 1324 1236 1316 1046 1699
"PRSS8" 18564 17905 16669 19663 18520 14763 14291 18210 12582
"SIKE1" 2006 2358 2499 2199 2643 1537 2162 2129 2417
"RRP12" 1260 1524 2075 1156 1650 1891 1257 3804 1662
"FNIP2" 2662 3226 3294 2747 3322 4371 2898 3169 1930
"MSMO1" 18154 21815 8352 17822 18944 3305 13658 18685 9197
"TTC17" 3773 2412 4608 3702 2916 3327 3974 1633 5259
"ALX4" 70 84 68 81 118 41 93 30 56
"FSTL4" 208 38 114 264 76 71 329 46 143
"FOXN3" 5167 4681 5515 5998 5433 2827 5947 1262 4478
"METTL24" 6 12 12 4 17 6 10 19 4
"AKR7A2" 1002 1521 1331 1155 1388 647 1368 1357 1363
"MRTO4" 1006 1535 2175 1129 1422 1248 1351 3459 2201
"NNAT" 389 4171 319 643 3672 215 749 2868 1023
"USE1" 386 443 387 357 349 216 446 441 369
"MCF2L2" 11100 5872 8164 9849 7098 4506 6047 10269 6749
"NRIP2" 91 70 128 104 92 63 143 54 153
"LAMA3" 2956 1089 3690 5376 1540 30802 2613 923 513
"AP5M1" 1276 1218 1899 1145 1262 1095 1249 933 1555
"ANAPC4" 2218 995 3481 2522 1244 2388 3263 848 4595
"KCNQ1" 536 551 582 528 654 461 437 631 876
"TRAPPC3" 3711 3820 4320 3564 3767 2239 3257 4139 3652
"THRAP3" 8274 7189 11034 8976 8374 6904 8720 8501 9247
"PHPT1" 2459 2434 2027 2636 1892 910 3109 2269 2203
"ENTPD2" 266 25 153 410 48 140 299 10 352
"LY75" 108 71 128 107 128 123 147 84 102
"ARID4B" 5957 5297 6840 5916 6183 5317 5759 6931 6775
"OPN3" 14197 10635 17154 13161 11002 9400 12168 11542 15063
"SDCCAG8" 1094 1235 1353 1103 1224 889 1208 760 1584
"PTPRN" 33 17 163 22 16 26 28 9 32
"HHAT" 412 212 378 489 270 260 592 193 423
"KIF1B" 2980 3592 4630 2922 3788 2560 2876 2151 3419
"FOXC1" 509 1100 1648 650 950 807 657 1261 947
"TBC1D22A" 2299 1506 2226 2058 1767 1239 2460 881 2277
"SYNE2" 14227 9144 13916 15809 14429 9128 14865 4845 16436
"PLEKHH1" 760 536 911 893 893 932 951 398 1068
"ATP9A" 445 253 429 371 294 357 592 110 308
"SPO11" 1 3 1 2 1 0 5 1 1
"CBLN4" 0 1 3 0 0 0 0 0 0
"CHRDL2" 52 24 37 44 38 12 40 24 10
"FAM168A" 1518 1656 2419 1876 1699 1148 1930 483 2107
"RELT" 1249 1120 1099 1121 999 1051 1051 3027 823
"GALC" 985 1087 1160 914 1062 859 1254 943 1146
"NOP58" 3262 2821 4289 3046 2881 3261 3698 7410 4399
"SZRD1" 8511 8300 9794 8946 8701 6063 8484 11033 8077
"KCNH2" 48 45 33 33 55 16 47 55 17
"CUL1" 5999 4774 8225 5961 5390 5014 6310 5478 6686
"FAM114A2" 1099 1108 1491 1182 1214 765 1553 619 1554
"CYFIP2" 3815 2662 3900 4958 3147 1436 6490 1562 3213
"TAB2" 5717 4363 7010 5308 5243 4513 4544 3404 4687
"GINM1" 4534 4940 5229 4133 4907 2860 4301 4779 4158
"EIF2AK2" 3698 2843 4596 25208 19354 20271 5036 2864 3752
"USP36" 1938 1828 2905 1740 1989 2298 2062 5716 2200
"KMT2C" 7735 4711 8001 7582 6118 6021 6464 2689 7768
"MCOLN3" 206 248 206 202 297 109 294 756 366
"CCDC85A" 82 390 81 111 276 62 122 197 159
"PUM2" 9459 10485 12660 9808 12224 7547 9161 12252 12358
"MRPL43" 2263 2988 3235 2572 2843 1069 2846 2358 3138
"ITIH4" 43 26 30 42 30 141 30 26 29
"ITIH1" 12 9 4 9 2 1 5 2 1
"HPF1" 982 971 1172 1235 951 550 1310 505 1335
"ZFR" 5133 5028 7307 4737 5150 4708 5381 7608 6102
"ZNF280C" 238 233 278 198 254 289 228 581 395
"NPFFR2" 511 415 503 611 393 347 496 347 557
"PHF21B" 6 7 21 12 3 4 4 1 9
"TRAF1" 1459 462 512 856 589 494 435 611 126
"RC3H2" 3942 3438 5167 3724 4083 3416 3935 5484 4233
"IL17RB" 270 203 503 316 217 201 300 233 354
"TRAF3IP2" 3383 3889 4141 3879 4191 2652 3264 2232 3270
"GYG2" 95 157 447 111 89 56 213 72 454
"DCBLD2" 1640 1707 3043 1567 1565 1102 2356 1047 2472
"SERPINB3" 8 1 16 2 2 6 1 0 3
"SOAT1" 2253 2462 5108 2993 2681 5850 1939 1691 3139
"PKP2" 16292 10112 14522 15541 9656 12068 17294 19478 12946
"MSH4" 19 25 8 9 21 4 23 34 28
"F7" 2 7 1 1 4 1 0 2 1
"GDI2" 14923 12336 17684 15505 12558 10755 16098 15465 15938
"PRDM1" 640 479 1557 796 641 1142 533 400 334
"ATG5" 4004 3824 5045 4113 3922 3108 3631 2906 3662
"TMCC3" 1090 2241 1379 1239 2240 783 1806 1544 1086
"PITHD1" 2431 2894 4101 2493 2751 2065 2784 4710 3304
"MTA3" 2709 3924 4429 3227 3829 1783 3458 2213 4131
"USP13" 317 470 869 373 462 246 472 237 633
"ATP11B" 2284 3146 4780 2073 3396 2044 2435 1527 3424
"LAMC2" 19565 14544 18575 16449 18365 16590 14159 14148 10383
"CDK14" 372 417 1065 307 330 425 303 155 374
"SEC61A1" 20228 14713 24963 18568 15274 13193 17278 14995 16654
"PPP1R12A" 3718 4050 4652 3331 4248 2973 3982 3955 4476
"RASGRF1" 61 30 86 107 31 120 192 22 73
"CAMK2B" 2 10 4 3 6 3 5 2 3
"CROCC" 571 505 439 873 621 255 1159 456 369
"POLR3E" 1674 1504 2597 1481 1846 1388 1677 1385 2240
"ATP2B4" 29194 15012 26633 24135 22934 16114 20229 6100 16785
"ZC3H11A" 11221 9009 13055 10227 10180 8619 8967 12570 10967
"RIOK2" 1076 1488 1413 1151 1703 870 1182 1832 1276
"YIPF1" 2239 1835 2773 2082 2040 1430 2067 1812 2153
"NDC1" 1972 2332 3126 2295 2036 1452 2559 1979 3231
"DGKG" 321 417 387 253 438 192 341 282 460
"FLYWCH1" 2321 1402 3997 2859 1677 1571 2651 598 2597
"UNKL" 3210 2022 3613 2537 2722 1900 2521 2863 3556
"TBXAS1" 339 188 326 317 285 204 218 123 263
"PARP12" 914 589 1130 7699 6441 9980 1036 885 852
"ALDH18A1" 4908 6264 7960 4898 6129 2851 5668 3180 6360
"TARBP1" 2453 1968 2681 2497 2442 1533 3508 2283 5087
"GATB" 1223 1099 1367 1257 1274 608 1509 574 1468
"MXD1" 6294 4641 3785 6620 5195 5085 4448 4812 3105
"CDK17" 2257 2221 3207 3458 3394 3617 2592 2070 2563
"DNAJC25" 1335 1434 1220 1343 1357 684 1403 2299 1178
"SLC2A3" 12687 20217 11000 17683 15868 6853 15118 11387 7764
"PSD" 125 107 268 125 118 76 142 184 129
"CTDP1" 2158 1669 2469 1983 1932 1564 1730 2203 1617
"YBX3" 14399 13870 13806 14270 14646 8187 13971 17240 9696
"STYK1" 129 42 160 119 81 450 93 76 60
"WNK1" 5151 4923 9547 4809 5733 5306 5886 4224 6838
"CCAR1" 2819 2981 4553 2519 3519 2628 2769 4168 4998
"OGFR" 1620 1392 1969 4040 3961 4307 1743 1731 1313
"GNA15" 799 731 916 764 566 986 426 312 395
"CREB3L3" 4 3 1 0 2 1 1 1 1
"PIGV" 1542 1014 1249 1669 1259 625 1787 672 1070
"PTPRU" 6847 3738 6912 8067 3440 3250 9287 1970 5471
"SNRNP40" 1499 2056 2269 1534 1892 1075 1619 2760 2373
"RIMBP2" 5 5 4 4 2 5 1 2 2
"COL11A1" 313 385 252 319 322 538 213 324 260
"QSER1" 1694 1906 3099 1769 2139 1589 2345 1696 3149
"MPC1" 636 556 557 620 510 380 628 365 576
"ACAA1" 2258 2609 3321 2835 3297 2011 2901 3617 2990
"BCAT1" 7788 3916 8286 6670 3301 4052 9014 2349 6666
"HDAC7" 2068 2121 3512 2093 2178 1934 2541 1253 1856
"LZTS1" 427 437 830 426 594 343 661 237 653
"PRDM6" 90 149 37 62 176 39 91 94 89
"WNT8A" 0 2 0 1 2 0 0 0 1
"SPAG4" 384 91 256 395 103 143 408 66 344
"NCKAP1" 13221 11051 16335 11609 11334 11042 11307 13842 12933
"MRPS35" 2360 3033 3356 2458 2683 1690 2971 2233 3316
"GUCY1B1" 540 1326 185 471 1253 80 680 909 576
"SFSWAP" 2357 2203 3218 2433 2457 2029 2580 2493 2922
"TNK2" 2106 2196 4405 3087 2936 2748 2928 1340 4236
"MON2" 3229 2048 3602 2742 2461 2054 3262 1520 4115
"CDH3" 2123 1846 2878 1986 2423 1010 1956 1943 1717
"ARSF" 3 9 0 1 2 5 1 1 6
"GPBP1" 9387 8468 9375 10331 10160 7506 7794 9384 9123
"DGAT2" 105 34 93 70 35 43 72 11 76
"ZNF112" 169 92 142 247 121 96 211 52 220
"CS" 3169 4102 4787 2638 3781 2640 2880 3106 3488
"LTK" 124 415 61 130 449 40 199 410 159
"MRPS24" 1818 2826 2341 1887 2420 954 2099 2487 1968
"ELMO2" 1071 956 1245 1218 1199 1294 931 964 1064
"WAPL" 5216 4608 7563 4691 4992 4558 4920 8987 6158
"VMP1" 7396 5776 7042 6883 5979 4515 5980 6086 6584
"APPBP2" 3504 2778 3572 2887 3267 2608 2608 3795 3106
"POLD1" 1206 1423 2016 1564 1409 1252 1553 1208 1618
"SEZ6" 3 2 10 1 2 21 3 5 9
"EIF4B" 23407 19572 25162 21275 19234 10887 26871 16652 21670
"SLC6A16" 55 69 35 48 67 17 46 29 26
"BICRA" 610 559 801 667 678 580 588 511 678
"SPHK2" 154 223 371 200 218 181 260 135 272
"RPL18" 30393 34746 25118 32292 31395 12260 32900 35999 22866
"CA11" 33 41 68 39 52 60 30 41 58
"ISOC2" 327 429 553 462 459 383 440 277 428
"U2AF2" 7269 8287 10106 7204 8563 5607 7375 10408 8399
"EPN1" 3469 3709 5620 3917 3606 2799 3662 2817 3330
"MED29" 1995 1921 2990 2256 2231 1524 2448 2562 2003
"GSC2" 0 0 0 0 0 0 0 0 0
"ZNF275" 160 245 517 168 229 395 283 160 269
"MTMR1" 4514 4307 6778 4284 5262 3627 4216 3214 5833
"GPC1" 14166 7777 13577 13570 8730 6462 15983 7059 8894
"ADCK1" 354 313 547 378 351 273 435 120 549
"HAGH" 771 1238 1255 763 1233 587 790 942 858
"RNF4" 2915 2708 4786 3224 3005 2740 2980 4690 3189
"CASP8" 753 511 821 987 781 1110 617 408 819
"LIMCH1" 6959 4881 4016 6267 5354 2905 6608 2705 5379
"INTS13" 867 859 1121 835 813 704 1010 754 1135
"TM7SF3" 3148 2781 3510 3560 3021 1397 3951 2413 3727
"DLX3" 631 498 1227 544 609 616 574 1663 768
"SPA17" 109 321 261 90 235 98 167 146 296
"TSPAN32" 25 26 29 17 29 25 19 27 17
"CCN5" 14 11 17 10 7 12 11 22 5
"DMRT3" 0 0 0 0 0 0 0 0 0
"ST3GAL6" 3875 2715 4545 4432 3382 4343 4377 1771 5049
"ATP2C2" 577 90 172 503 185 126 488 101 259
"NGFR" 190 328 94 158 340 71 221 477 127
"CDON" 95 84 499 87 78 65 104 48 111
"TAF2" 1758 1577 3035 1640 1711 1481 1877 1822 2687
"HIPK2" 4660 3266 4803 4847 5122 3459 4454 984 3504
"TNPO3" 2586 2591 3443 2751 2795 2312 2517 2603 2853
"BORCS8-MEF2B" 498 483 695 458 501 455 554 425 651
"RFXANK" 950 1176 1285 1160 1147 721 1207 992 1124
"TMEM161A" 255 395 505 247 417 206 353 349 528
"LPAR2" 84 42 113 104 53 244 67 33 71
"CTSA" 5373 5007 6292 6160 5943 5290 5879 6116 4443
"SUGP2" 1821 1840 2875 1678 2062 1438 2134 1618 3043
"SLC12A2" 536 648 497 561 779 516 939 756 460
"SNX24" 5518 5907 7257 5139 5686 3941 5454 4105 5892
"EYA2" 1323 1209 1816 1732 1430 607 1936 471 1474
"CNN2" 1100 574 1127 1334 524 1364 1006 549 526
"ABCA7" 682 526 1146 631 563 835 664 364 949
"SNCAIP" 77 111 553 51 120 196 66 83 81
"DDX20" 762 699 1076 727 729 681 882 1305 946
"BTBD1" 1778 2148 3118 1725 2021 2217 2148 1785 2401
"FAR2" 5499 3280 4144 3821 3452 2456 4073 3896 4197
"BCAS1" 23 21 20 10 17 17 32 6 22
"POU1F1" 0 1 0 1 1 1 0 0 2
"CHI3L2" 708 264 1067 468 752 908 174 59 112
"SBNO2" 5056 3969 6048 4856 4599 4274 4876 3586 2593
"PMS1" 649 843 977 641 786 425 832 649 1281
"HMG20B" 6995 5572 6914 7738 5564 4133 6994 4470 5837
"CALCRL" 628 1160 1220 748 935 310 1032 517 649
"TAF11" 1862 2004 2284 1918 2100 1106 2087 2161 2473
"ANKS1A" 2497 2985 3275 2460 3507 2232 2720 1407 3073
"AP3D1" 6229 4960 9056 5601 5603 5124 5850 5256 6180
